#Wavelength,Es305,Es340,Es380,Es412,Es443,Es510,Es610,Es625,Es665,Es694,Es750,Es765,Es875,Es940,Es1020,Es1245,Es1550,Es1640,Es0
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168384413
362.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169209677
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170039966
363.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170875349
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171715892
364.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172561657
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173412704
365.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174269085
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175130853
366.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175998051
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176870723
367.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177748903
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178632623
368.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179521906
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180416771
369.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181317229
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18222329
370.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183134953
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184052215
371.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184975066
372,0,0,0.000523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18590349
372.5,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186837463
373,0,0,0.010262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187776959
373.5,0,0,0.01382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188721943
374,0,0,0.020787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189672376
374.5,0,0,0.044377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190628213
375,0,0,0.104647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191589406
375.5,0,0,0.2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192555901
376,0,0,0.454654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193527638
376.5,0,0,0.736628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194504556
377,0,0,0.950423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195486587
377.5,0,0,0.998877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196473659
378,0,0,0.966522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197465699
378.5,0,0,0.935475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198462626
379,0,0,0.910701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19946436
379.5,0,0,0.896824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200470817
380,0,0,0.879081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201481909
380.5,0,0,0.849511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202497548
381,0,0,0.819487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203517643
381.5,0,0,0.792018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204542101
382,0,0,0.757208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205570826
382.5,0,0,0.718509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20660372
383,0,0,0.684569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207640683
383.5,0,0,0.653148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208681613
384,0,0,0.605973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209726405
384.5,0,0,0.566219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210774955
385,0,0,0.515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211827155
385.5,0,0,0.468835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212882895
386,0,0,0.393143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213942066
386.5,0,0,0.310241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215004557
387,0,0,0.205174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216070258
387.5,0,0,0.093711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217139054
388,0,0,0.04157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218210834
388.5,0,0,0.017311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219285484
389,0,0,0.015041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220362889
389.5,0,0,0.000813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221442935
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222525509
390.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223610495
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22469778
391.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225787249
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226878785
392.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227972275
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229067604
393.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23016466
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231263331
394.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232363506
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233465078
395.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23456794
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235671989
396.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236777122
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237883241
397.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238990253
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240098065
398.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24120659
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242315742
399.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24342544
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244535602
400.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245646152
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246757014
401.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247868113
402,0,0,0,0.000558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248979376
402.5,0,0,0,0.000947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250090729
403,0,0,0,0.00183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251202103
403.5,0,0,0,0.002757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252313425
404,0,0,0,0.004537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253424628
404.5,0,0,0,0.010524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254535645
405,0,0,0,0.027471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255646412
405.5,0,0,0,0.065433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256756866
406,0,0,0,0.150026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257866949
406.5,0,0,0,0.339463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258976603
407,0,0,0,0.584502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260085775
407.5,0,0,0,0.791851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261194411
408,0,0,0,0.905276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262302464
408.5,0,0,0,0.938572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263409887
409,0,0,0,0.969887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264516636
409.5,0,0,0,0.97199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265622673
410,0,0,0,0.983166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266727962
410.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267832471
411,0,0,0,0.992755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26893617
411.5,0,0,0,0.997572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270039034
412,0,0,0,0.992499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271141041
412.5,0,0,0,0.976798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272242172
413,0,0,0,0.9807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273342412
413.5,0,0,0,0.976447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274441746
414,0,0,0,0.965466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275540165
414.5,0,0,0,0.95067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27663766
